Title,Author,Number of times read,Duration(min),Year,Month,Status
The Power of Habit,Charles Duhigg,1,726,2021,October,Completed
The Power of Now,Eckhart Tolle,2,589,2021,October,Completed
13 Things Mentally Strong People Don't Do,Amy Morin,1,507,2021,October,Completed
The Life-Changing Magic of Not Giving a F*ck,Sarah Knight,1,255,2021,October,Completed
The 33 strategies of war,Robert Greene,1,290,2021,October,Completed
The art of communicating,Thich Nhat Hanh,1,240,2021,November,Completed
Napoleon Hill's golden rule,Napoleon Hill,1,417,2021,November,Completed
How to own your mind,Napoleon Hill,1,465,2021,November,Completed
Talk Like TED,Carmine Gallo,1,267,2021,November,Completed
Every Day a Friday,Joel Osteen,1,659,2021,November,Completed
Break Out!,Joel Osteen,1,597,2021,November,Completed
The Power of I Am,Joel Osteen,1,696,2021,November,Completed
Empty Out the Negative,Joel Osteen,1,161,2021,November,Completed
Mindfulness for Beginners,Jon Kabat-Zinn,1,192,2021,November,Completed
Mindset,"Carol S. Dweck, Bernadette Dunne",1,667,2021,November,Completed
What the most successful people do before breakfast,Laura Vanderkam,1,74,2022,January,Completed
You are stronger than you think,Joel Osteen,1,455,2022,January,Completed
A new earth,Eckhart Tolle,,,,,In progress
